UserID;Subject;Topic;TotalQuestions;CorrectAnswers;IncorrectAnswers;Timestamp
user-1759913103156;Mathematics;Initial Assessment;15;5;10;08.10.2025 11:45
user-1759913103155;Mathematics;Initial Assessment;15;5;10;08.10.2025 11:45
